 872| |   | nu |Hyi|02 50 28.7|-75 04 01|310.22|-72.92|  362| 4.75|K3III              |
 874| |  3|eta |Eri|02 56 25.6|-08 53 53| 38.75|-24.55|  135| 3.87|K1-IIIbBa0.2       |
 879| | 22| pi |Per|02 58 45.6|+39 39 46| 53.90| 21.73|  326| 4.70|A2Vn               |
 882| | 24|    |Per|02 59 03.6|+35 10 59| 52.54| 17.44|  362| 4.94|K2III              |
 887| | 48|eps |Ari|02 59 12.6|+21 20 25| 48.50|  4.17|  296| 4.63|A2Vs               | 3
 888| | 48|eps |Ari|02 59 12.6|+21 20 25| 48.50|  4.17|  296| 4.64|A2Vs               | 3
 896| | 91|lam |Cet|02 59 42.8|+08 54 27| 45.09| -7.79|  465| 4.70|B6III              |
 897|*|   |tet1|Eri|02 58 15.6|-40 18 17| 23.27|-53.74|  163| 3.42|A4III              | 2
 898| |   |tet2|Eri|02 58 16.2|-40 18 16| 23.27|-53.74|  163| 4.42|A1V                | 2
 909| |   |bet |Hor|02 58 47.8|-64 04 16|346.34|-71.35|  326| 4.99|A3-5IIIm:          |
 911|*| 92|alf |Cet|03 02 16.7|+04 05 23| 44.32|-12.59|  232| 2.53|M1.5IIIa           |
 915| | 23|gam |Per|03 04 47.7|+53 30 23| 60.02| 34.53|  271| 2.93|G8III+A2V          | 3
 918| |   |    |   |03 05 32.4|+56 42 21| 61.49| 37.50|  217| 4.76|G9.5III            |
 919| | 11|tau3|Eri|03 02 23.5|-23 37 28| 34.53|-38.91|   88| 4.09|A4IV               |
 921| | 25| ro |Per|03 05 10.5|+38 50 25| 54.91| 20.57|  326| 3.39|M4II               |
 932| |   |    |   |03 11 56.3|+74 23 37| 72.37| 53.53|  163| 4.88|A2Vnn              |
 936|*| 26|bet |Per|03 08 10.1|+40 57 21| 56.17| 22.43|   93| 2.12|B8V                | 6
 937| |   |iot |Per|03 09 04.0|+49 36 48| 59.27| 30.63|   34| 4.05|G0V                | 2
 941| | 27|kap |Per|03 09 29.7|+44 51 27| 57.69| 26.08|  112| 3.81|K0III              | 2
 947| | 28|omg |Per|03 11 17.3|+39 36 42| 56.36| 20.97|  326| 4.64|K1III              | 2
 951| | 57|del |Ari|03 11 37.7|+19 43 36| 50.85|  1.82|  171| 4.37|K2IIIv             |
 963| |   |alf |For|03 12 04.2|-28 59 14| 34.61|-44.69|   46| 3.85|F8V                | 2
 972| | 58|zet |Ari|03 14 54.0|+21 02 40| 51.94|  2.89|  362| 4.89|A1V                |
 984| | 13|zet |Eri|03 15 49.9|-08 49 11| 43.83|-25.92|  120| 4.80|A5m                |
 985| |   |    |   |03 19 59.3|+65 39 09| 67.88| 45.26|  616| 4.85|B2.5Ven            | 2
 991| |   |    |   |03 18 43.7|+34 13 21| 56.30| 15.38|  577| 4.82|K2IIICN2Ba0.3      |
 994| | 15|    |Eri|03 18 22.1|-22 30 41| 39.47|-39.13|  271| 4.88|G6III              | 2
 996| | 96|kap1|Cet|03 19 21.6|+03 22 13| 48.33|-14.45|   29| 4.84|G5Vv               | 3
 999| |   |    |   |03 20 20.3|+29 02 55| 55.24| 10.30|  254| 4.47|K2II-III           |
1002| | 32|    |Per|03 21 26.5|+43 19 47| 59.47| 24.00|  155| 4.95|A3V                |
1003| | 16|tau4|Eri|03 19 30.9|-21 45 28| 40.11|-38.51|  271| 3.70|M3.5IIIaCa-1       | 6
1008| |   |    |   |03 19 55.6|-43 04 11| 27.22|-58.11|   19| 4.27|G8III              |
1017|*| 33|alf |Per|03 24 19.3|+49 51 41| 62.08| 30.13|  529| 1.79|F5Ib               | 2
1030| |  1|omi |Tau|03 24 48.7|+09 01 44| 51.16| -9.33|  217| 3.60|G6IIIFe-1          |
1034| |   |    |   |03 28 03.0|+49 03 46| 62.49| 29.19|  442| 4.98|B5V                |
1035| |   |    |   |03 29 04.1|+59 56 25| 66.58| 39.53| 3228| 4.22|B9Ia               | 2
1038| |  2| xi |Tau|03 27 10.1|+09 43 58| 51.91| -8.80|  232| 3.75|B9Vn               |
1040| |   |    |   |03 29 54.8|+58 52 44| 66.29| 38.49| 3228| 4.54|A0Iae              |
1044| | 34|    |Per|03 29 22.0|+49 30 32| 62.87| 29.56|  436| 4.67|B3V                | 2
1052| | 35|sig |Per|03 30 34.4|+47 59 43| 62.61| 28.05|  362| 4.38|K3III              |
1066| |  5|    |Tau|03 30 52.3|+12 56 12| 53.59| -5.92|  362| 4.10|K0II-IIIFe-0.5     | 2
1070| | 17|    |Eri|03 30 37.0|-05 04 31| 48.85|-23.34|  407| 4.73|B9Vs               |
1083| |   |kap |Ret|03 29 22.6|-62 56 16|355.11|-73.80|   70| 4.72|F5IV-V             | 2
1084| | 18|eps |Eri|03 32 55.8|-09 27 30| 48.17|-27.72|   10| 3.73|K2V                | 2
1087| | 37|psi |Per|03 36 29.3|+48 11 34| 63.75| 27.97|  300| 4.23|B5Ve               |
